id;short_label;label;long_label
1;bluetooth;Gorgeous;Granite
2;utilize;open-source application;wireless aggregate Ergonomic
3;Fresh;Borders Buckinghamshire;sensor motivating optical
4;Land Cotton payment;Strategist B2C invoice;Corporate
5;transmit Cambridgeshire;engage;Personal Loan Account help-desk Direct
6;generate yellow;scale invoice;Industrial
7;Car Handmade Soft Cheese;Secured multi-state reintermediate;Chips
8;Credit Card Account;Soft;Cotton system
9;web services end-to-end;payment Savings Account;Togo
10;THX empower Right-sized;Chief strategic;primary dynamic collaboration
