id;server;port;url
1;Sleek Rubber Table;application Investor synthesizing;http://hoyt.org
2;Comoros Ergonomic Frozen Sausages repurpose;Falls;https://immanuel.net
3;hacking Tuvalu;generating;http://shany.biz
4;sensor infomediaries;budgetary management Berkshire Grocery;http://rachelle.info
5;Trail e-enable Kiribati;matrix wireless;https://scottie.info
6;Awesome Frozen Sausages;core Global;https://roman.biz
7;task-force Movies Customer;monitor Directives;https://abagail.com
8;Supervisor;implementation Berkshire;http://eliza.name
9;National next-generation;synthesizing productize;http://lillie.biz
10;incentivize Dobra;Stand-alone backing up Small;http://duncan.com
